cest;ncm
28.033.00;3924.10.00
28.033.00;4014.90.90
28.033.00;7010.20.00
28.034.00;4014.90.90
28.035.00;1211.90.90
28.036.00;3926.20.00
28.037.00;3926.40.00
28.038.00;3926.90.90
28.039.00;4202.22.10
28.040.00;4202.22.20
28.041.00;4202.29.00
28.042.00;4202.39.00
28.043.00;4202.92.00
28.044.00;4202.99.00
28.045.00;4819.20.00
28.046.00;4819.40.00
28.047.00;4821.10.00
28.048.00;4911.10.90
28.049.00;6115.99.00
28.050.00;6217.10.00
28.051.00;6302.60.00
28.052.00;6307.90.90
28.053.00;6506.99.00
28.054.00;9505.90.00
28.055.00;Capítulo 33
28.056.00;Capítulos 33 e
28.056.00;34
28.057.00;Capítulos 14
28.057.00;39
28.057.00;40
28.057.00;44
28.057.00;48
28.057.00;63
28.057.00;64
28.057.00;65
28.057.00;67
28.057.00;70
28.057.00;82
28.057.00;90 e
28.057.00;96
28.058.00;Capítulos 39
28.058.00;42
28.058.00;48
28.058.00;52
28.058.00;61
28.058.00;71
28.058.00;83
28.058.00;90 e
28.058.00;91
28.059.00;Capítulos 61
28.059.00;62 e 64
28.060.00;Capítulos 42
28.060.00;52
28.060.00;55
28.060.00;58
28.060.00;63
28.060.00;e 65
28.061.00;Capítulos 39
28.061.00;40
28.061.00;52
28.061.00;56
28.061.00;62
28.061.00;63
28.061.00;66
28.061.00;69
28.061.00;70
28.061.00;73
28.061.00;76
28.061.00;82
28.061.00;83
28.061.00;84
28.061.00;91
28.061.00;94 e
28.061.00;96
28.062.00;Capítulos 13 e
28.062.00;15 a 23
28.063.00;Capítulos 22
28.063.00;27
28.063.00;28
28.063.00;29
28.063.00;33
28.063.00;34
28.063.00;35
28.063.00;38
28.063.00;39
28.063.00;63
28.063.00;68
28.063.00;73
28.063.00;84
28.063.00;85 e 96
28.064.00;Capítulos 39
28.064.00;49
28.064.00;95
28.064.00;96
03.016.00;2202.99.00
