cest;ncm
06.011.07;2711.19.10
06.012.00;2711.11.00
06.013.00;2711.21.00
06.014.00;2711.29.90
06.015.00;2713
06.016.00;3826.00.00
06.017.00;3403
06.018.00;2710.20.00
07.001.00;2716.00.00
08.001.00;4016.99.90
08.002.00;4417.00.10
08.002.00;4417.00.90
08.003.00;6804
08.004.00;8201
08.005.00;8202.20.00
08.006.00;8202.91.00
08.007.00;8202
08.008.00;8203
08.009.00;8204
08.010.00;8205
08.011.00;8206.00.00
08.012.00;8207.40
08.012.00;8207.60
08.012.00;8207.70
08.013.00;8207
08.014.00;8208
08.015.00;8209.00.11
08.016.00;8209
08.017.00;8211
08.018.00;8213
08.019.00;8467
08.019.01;8467.81.00
08.020.00;9015
08.021.00;9017.20.00
08.021.00;9017.30
08.021.00;9017.80
08.021.00;9017.90.90
08.022.00;9025.11.90
08.022.00;9025.90.10
08.023.00;9025.19
08.023.00;9025.90.90
09.001.00;8539
09.002.00;8540
09.003.00;8504.10.00
09.004.00;8536
09.004.00;5
09.005.00;8539.50.00
10.001.00;2522
10.002.00;3816.00.1
10.002.00;3824.50.00
10.003.00;3214.90.00
10.004.00;3910
10.005.00;3916
10.006.00;3917
10.007.00;3918
10.008.00;3919
10.009.00;3919
10.009.00;3920
10.009.00;3921
10.010.00;3921
10.011.00;3921
10.012.00;3921
10.013.00;3922
10.014.00;3924
10.015.00;3925.10.00
10.016.00;3925
10.016.00;9
10.017.00;3925.10.00
10.017.00;3925.90
10.018.00;3925.20.00
10.019.00;3925.30.00
10.020.00;3926
10.020.00;9
10.021.00;4814
10.022.00;6810.19.00
10.023.00;6811
10.024.00;6811
10.025.00;6901.00.00
10.026.00;6902
10.027.00;6904
10.028.00;6905
10.029.00;6906.00.00
10.030.00;6907
10.030.01;6907
10.031.00;6910
10.032.00;6912.00.00
10.033.00;7003
10.034.00;7004
10.035.00;7005
10.036.00;7007.19.00
10.037.00;7007.29.00
10.038.00;7008
10.039.00;7016
10.040.00;7214.20.00
10.041.00;7308.90.10
10.042.00;7214.20.00
10.043.00;7213
10.043.00;7308.90.10
10.044.00;7217.10.90
10.044.00;7312
10.045.00;7217.20.10
10.045.01;7217.20.90
10.046.00;7307
10.047.00;7308.30.00
10.048.00;7308.40.00
10.048.00;7308.90
10.049.00;7308.40.00
10.050.00;7308.90.90
10.051.00;7310
10.052.00;7313.00.00
10.053.00;7314
10.054.00;7315.11.00
10.055.00;7315.12.90
10.056.00;7315.82.00
10.057.00;7317
10.058.00;7318
10.059.00;7323
10.059.01;7323
10.060.00;7324
10.061.00;7325
10.062.00;7326
10.063.00;7407
10.064.00;7411.10.10
10.065.00;7412
10.066.00;7415
10.067.00;7418.20.00
10.068.00;7607.19.90
10.069.00;7608
10.070.00;7609.00.00
10.071.00;7610
10.072.00;7615.20.00
10.073.00;7616
10.074.00;8302.41.00
10.075.00;8301
10.076.00;8302.10.00
10.077.00;8307
10.078.00;8311
10.079.00;8481
10.080.00;7009
11.001.00;2828.90.11
11.001.00;2828.90.19
11.001.00;3206.41.00
11.001.00;3402.20.00
11.001.00;3808.94.19
11.002.00;3401.20.90
11.003.00;3401.20.90
11.004.00;3402.20.00
11.005.00;3402.20.00
11.006.00;3402.20.00
11.007.00;3402
11.008.00;3809.91.90
11.009.00;3924.10.00
11.009.00;3924.90.00
11.009.00;6805.30.10
11.009.00;6805.30.90
11.010.00;2207
11.010.00;2208.90.00
11.011.00;7323.10.00
11.012.00;3923
11.012.00;2
12.001.00;8504
12.002.00;8516
12.003.00;8535
12.004.00;8536
12.005.00;8538
12.006.00;7413.00.00
12.007.00;8544
12.007.00;7605
12.007.00;7614
12.008.00;8546
12.009.00;8547
13.001.00;3003
13.001.00;3004
13.001.01;3003
13.001.01;3004
13.001.02;3003
13.001.02;3004
13.002.00;3003
13.002.00;3004
13.002.01;3003
13.002.01;3004
13.002.02;3003
13.002.02;3004
13.003.00;3003
13.003.00;3004
13.003.01;3003
13.003.01;3004
13.003.02;3003
13.003.02;3004
13.004.00;3003
13.004.00;3004
13.004.01;3003
13.004.01;3004
13.004.02;3003
13.004.02;3004
13.005.00;3006.60.00
13.005.01;3006.60.00
13.006.00;2936
13.007.00;3006
13.007.00;3
13.007.01;3006
13.007.01;3
13.008.00;3002
13.008.01;3002
13.009.00;3002
13.009.01;3002
13.010.00;3005.10.10
13.010.01;3005.10.10
13.011.00;3005
13.012.00;4015.11.00
13.012.00;4015.19.00
13.013.00;4014.10.00
13.014.00;9018
13.014.00;31
13.015.00;9018.32.1
13.016.00;3926.90.90
13.016.00;9018.90.99
14.001.00;7013
14.002.00;7013.37.00
14.003.00;7013.42.90
14.004.00;3919
14.004.00;3920
14.004.00;3921
14.005.00;3924
14.006.00;3924.10.00
14.007.00;6911.10.10
14.008.00;6911.10.90
14.009.00;6912.00.00
14.010.00;6912.00.00
14.011.00;4823.20.9
14.012.00;4823
14.012.00;6
14.013.00;4813.10.00
16.001.00;4011.10.00
16.002.00;4011
16.003.00;4011.40.00
16.004.00;4011
16.005.00;4011.50.00
16.006.00;4012
16.006.00;1
16.007.00;4012
16.007.00;9
16.007.01;4012
16.007.01;9
16.008.00;4013
16.009.00;4013.20.00
17.001.00;1704.90.10
17.002.00;1806.31.10
17.002.00;1806.31.20
17.003.00;1806.32.10
17.003.00;1806.32.20
17.004.00;1806.90.00
17.005.00;1704.90.10
17.005.01;1806.90.00
17.006.00;1806.90.00
17.006.01;1806.10.00
17.006.02;1806.90.00
17.007.00;1806.90.00
17.008.00;1704.90.90
17.009.00;1806.90.00
17.010.00;2009
17.011.00;2009
17.011.00;8
17.012.00;0402.1
17.012.00;0402.2
17.012.00;0402.9
17.013.00;1901.10.20
17.014.00;1901.10.10
17.015.00;1901.10.90
17.015.00;1901.10.30
17.016.00;0401.10.10
17.016.00;0401.20.10
17.016.01;0401.10.10
17.016.01;0401.20.10
17.017.00;0401.40.10
17.017.00;0401.50.10
