codigo;uf;ex;nacionalfe;importados;estadual;municipal
03019310;SP;;13.45;15.45;7.00;0.00
03019390;SP;;13.45;15.54;7.00;0.00
03019410;SP;;13.45;15.45;7.00;0.00
03019490;SP;;13.45;15.54;7.00;0.00
03019510;SP;;13.45;15.45;7.00;0.00
03019590;SP;;13.45;15.54;7.00;0.00
03019911;SP;;13.45;15.45;7.00;0.00
03019912;SP;;13.45;15.45;7.00;0.00
03019919;SP;;13.45;15.45;7.00;0.00
03019991;SP;;13.45;15.54;7.00;0.00
03019992;SP;;13.45;15.54;7.00;0.00
03019999;SP;;13.45;15.54;7.00;0.00
03021100;SP;;4.20;6.29;7.00;0.00
03021300;SP;;4.20;6.29;7.00;0.00
03021400;SP;;4.20;6.29;7.00;0.00
03021900;SP;;4.20;6.29;7.00;0.00
03022100;SP;;4.20;6.29;7.00;0.00
03022200;SP;;4.20;6.29;7.00;0.00
03022300;SP;;4.20;6.29;7.00;0.00
03022400;SP;;4.20;6.29;7.00;0.00
03022900;SP;;4.20;6.29;7.00;0.00
03023100;SP;;4.20;6.29;7.00;0.00
03023200;SP;;4.20;6.29;7.00;0.00
03023300;SP;;4.20;6.29;7.00;0.00
03023400;SP;;4.20;6.29;7.00;0.00
03023500;SP;;4.20;6.29;7.00;0.00
03023600;SP;;4.20;6.29;7.00;0.00
03023900;SP;;4.20;6.29;7.00;0.00
03024100;SP;;4.20;6.29;7.00;0.00
03024210;SP;;4.20;6.29;7.00;0.00
03024290;SP;;4.20;6.29;7.00;0.00
03024300;SP;;4.20;6.29;7.00;0.00
03024400;SP;;4.20;6.29;7.00;0.00
03024500;SP;;4.20;6.29;7.00;0.00
03024600;SP;;4.20;6.29;7.00;0.00
03024700;SP;;4.20;6.29;7.00;0.00
03025100;SP;;4.20;6.20;7.00;0.00
03025200;SP;;4.20;6.29;7.00;0.00
03025300;SP;;4.20;6.29;7.00;0.00
03025400;SP;;4.20;6.29;7.00;0.00
03025500;SP;;4.20;6.29;7.00;0.00
03025600;SP;;4.20;6.29;7.00;0.00
03025900;SP;;4.20;6.29;7.00;0.00
03027100;SP;;4.20;6.29;7.00;0.00
03027210;SP;;4.20;6.29;7.00;0.00
03027290;SP;;4.20;6.29;7.00;0.00
03027300;SP;;4.20;6.29;7.00;0.00
03027400;SP;;4.20;6.29;7.00;0.00
03027900;SP;;4.20;6.29;7.00;0.00
03028100;SP;;4.20;6.29;7.00;0.00
03028200;SP;;4.20;6.29;7.00;0.00
03028310;SP;;4.20;6.29;7.00;0.00
03028320;SP;;4.20;6.29;7.00;0.00
03028400;SP;;4.20;6.29;7.00;0.00
03028500;SP;;4.20;6.29;7.00;0.00
03028911;SP;;4.20;6.29;7.00;0.00
03028912;SP;;4.20;6.29;7.00;0.00
03028921;SP;;4.20;6.29;7.00;0.00
03028922;SP;;4.20;6.29;7.00;0.00
03028923;SP;;4.20;6.29;7.00;0.00
03028924;SP;;4.20;6.29;7.00;0.00
03028931;SP;;4.20;6.29;7.00;0.00
03028932;SP;;4.20;6.29;7.00;0.00
03028933;SP;;4.20;6.29;7.00;0.00
03028934;SP;;4.20;6.29;7.00;0.00
03028935;SP;;4.20;6.29;7.00;0.00
03028936;SP;;4.20;6.29;7.00;0.00
03028937;SP;;4.20;6.29;7.00;0.00
03028938;SP;;4.20;6.29;7.00;0.00
03028941;SP;;4.20;6.29;7.00;0.00
03028942;SP;;4.20;6.29;7.00;0.00
03028943;SP;;4.20;6.29;7.00;0.00
03028944;SP;;4.20;6.29;7.00;0.00
03028945;SP;;4.20;6.29;7.00;0.00
03028990;SP;;4.20;6.29;7.00;0.00
03029000;SP;;4.20;6.29;7.00;0.00
03031100;SP;;4.20;6.29;7.00;0.00
03031200;SP;;4.20;6.29;7.00;0.00
03031300;SP;;4.20;6.29;7.00;0.00
03031400;SP;;4.20;6.29;7.00;0.00
03031900;SP;;4.20;6.29;7.00;0.00
03032300;SP;;4.20;6.29;7.00;0.00
03032410;SP;;4.20;6.29;7.00;0.00
03032490;SP;;4.20;6.29;7.00;0.00
03032500;SP;;4.20;6.29;7.00;0.00
03032600;SP;;4.20;6.29;7.00;0.00
03032900;SP;;4.20;6.29;7.00;0.00
03033100;SP;;4.20;6.29;7.00;0.00
03033200;SP;;4.20;6.29;7.00;0.00
03033300;SP;;4.20;6.29;7.00;0.00
03033400;SP;;4.20;6.29;7.00;0.00
03033900;SP;;4.20;6.29;7.00;0.00
03034100;SP;;4.20;6.29;7.00;0.00
03034200;SP;;4.20;6.29;7.00;0.00
03034300;SP;;4.20;6.29;7.00;0.00
03034400;SP;;4.20;6.29;7.00;0.00
03034500;SP;;4.20;6.29;7.00;0.00
03034600;SP;;4.20;6.29;7.00;0.00
03034900;SP;;4.20;6.29;7.00;0.00
03035100;SP;;4.20;6.29;7.00;0.00
03035300;SP;;4.20;6.20;7.00;0.00
03035400;SP;;4.20;6.29;7.00;0.00
03035500;SP;;4.20;6.29;7.00;0.00
03035600;SP;;4.20;6.29;7.00;0.00
03035700;SP;;4.20;6.29;7.00;0.00
03036300;SP;;4.20;6.20;7.00;0.00
03036400;SP;;4.20;6.29;7.00;0.00
03036500;SP;;4.20;6.29;7.00;0.00
03036600;SP;;4.20;6.29;7.00;0.00
03036700;SP;;4.20;6.29;7.00;0.00
03036800;SP;;4.20;6.29;7.00;0.00
03036910;SP;;4.20;6.29;7.00;0.00
03036990;SP;;4.20;6.29;7.00;0.00
03038111;SP;;4.20;6.29;7.00;0.00
03038112;SP;;4.20;6.29;7.00;0.00
03038113;SP;;4.20;6.29;7.00;0.00
03038114;SP;;4.20;6.29;7.00;0.00
03038119;SP;;4.20;6.29;7.00;0.00
03038190;SP;;4.20;6.29;7.00;0.00
03038200;SP;;4.20;6.29;7.00;0.00
03038311;SP;;4.20;6.29;7.00;0.00
03038312;SP;;4.20;6.29;7.00;0.00
03038319;SP;;4.20;6.29;7.00;0.00
03038321;SP;;4.20;6.29;7.00;0.00
03038322;SP;;4.20;6.29;7.00;0.00
03038329;SP;;4.20;6.29;7.00;0.00
03038400;SP;;4.20;6.29;7.00;0.00
03038910;SP;;4.20;6.29;7.00;0.00
03038920;SP;;4.20;6.29;7.00;0.00
03038931;SP;;4.20;6.29;7.00;0.00
03038932;SP;;4.20;6.29;7.00;0.00
03038933;SP;;4.20;6.29;7.00;0.00
03038941;SP;;4.20;6.29;7.00;0.00
03038942;SP;;4.20;6.29;7.00;0.00
03038943;SP;;4.20;6.29;7.00;0.00
03038944;SP;;4.20;6.29;7.00;0.00
03038945;SP;;4.20;6.29;7.00;0.00
